_id,datetime,location,rating,scrapped_at,text
47d0cdd937754bd6b860f89b2bab1dbb,2022-05-15 11:58:43,Curug Malela,4,2023-02-15 11:58:43,"Akses jalannya waktu itu masih sulit di jangkau, perjalanan menuji curug lumayan jauh"
4804acd6c05e4f89b098e2ca35019419,2022-08-15 11:58:43,Curug Malela,5,2023-02-15 11:58:43,"Perjalanan yg bnr"" bikin Syahduu ,, dr Tempat parkir ke lokasi Curug ,,
Lelahh pun terasa hilang ketika sampe lokasi ,, 🥰🥰 …"
3eae265bf32a45eca31765a4145bc030,2022-03-15 11:58:43,Curug Malela,5,2023-02-15 11:58:43,"Minggu 13 februari 2022 ,

gas santai pakai motor dari dago jam 6:00 sampe parkiran curug jam 9 lebih karena kita disasarin gps, Jika sudah sampai di gunung halu jangan percaya gps, saya di sasarin 😂
Ikuti petunjuk jalan dan tanya warga saja.

Jalan lewat cililin sudah mulai bagus jalannya di cor, tapi ya begitu masih banyak proyek jalan yg blom beres, pada bolong tengah2 jalan ati2 aja..

Oke sudah sampai,
tiket permotor 12rb sudah termasuk tiket masuk, parkir motor 5rb, ditagih pas pulang

harga makanan diparkiran nasi ayam sayur kacang 20rb 😁 gpp larisin guys kasian yg jualan disana pada sepi.

Oke star jalan kaki dari parkiran full trek turunan (wah bakal berat nih pulangnya) jalan santai menikmati view, jalannya lumayan kudu ati2 , sambil ambil video  kita sampai curug 30-40menit.

Di perjalanan banyak warung yang buka namun sayang sepi pembeli karena waktu kami kesana hanya ada kami yang turun dan 3 orang yang naik, tidak berapa lama datang 1 pasangan. Jadi kami tidak sepi2 amat..

Untuk curugnya sendiri bagus, besar, indah bisa di liat di foto, jalan bersih tidak ada sampah, pas kami kesana ada bapa2 petugas yg lg beres2, lapin itu tempat duduk, sasapu, baguss

Namun sayang jembatan tempat foto yang baru2 ini dibuat kayu nya sudah banyak bolong, dan licin, mungkin karena kena cipratan air terus jadi lapuk, kudu di akalin tuh cari bahan yang kuat buat kena air, pokoknya kudu hati2 pisan karena rawan jatoh..

Oke lanjut balik nanjak dikit, ketemu lah sama bapak2 ojek, disitu kami berdiskusi bersama istri mau jalan apa naik ojek aja? Setelah perdebatan panjang akhirnya kami naik ojek 😂😂 dengan tarif awal 35rb kami tawar jadi 30rb

Eh buset ternyata treknya ekstrim, licin, nanjak, tidak tega kami gan 😂😂😂 ya kami tambahin lah buat bapak ojeknya jdi 50rb/motor..

Kalo anda ada rejeki mending cobain dah pengalaman naik ojek ketika pulang dari curug malela sebab worthed bangett,,

Driver ojeknya juga berpengalaman walopun cuma pakai motor vega r tapi bisa antar kami ke atas, btw kami beratnya 97kg gan 😂😂 kasian makanya kami tambahin..

Dan kami pun pulang.. sekian semoga bermanfaat.."
61037dbdb7b14045be49d4494e95cf05,2022-05-15 11:58:44,Curug Malela,5,2023-02-15 11:58:44,"7 mei 2022
Touring bari mudik
Mntap perjalanan sungguh menangtang namun terbayar dengan indahnya pemandang yg di suguhkan 🤩
Nyampe pulang kesorean saking asyiknya di jln😆"
a2c9e817e2b949c6880f971f43a11d2f,2022-08-15 11:58:44,Curug Malela,5,2023-02-15 11:58:44,Perjalanan touring motor dari bekasi melewati Track saguling... Pas sampai curug terbayar kan dengan keindahan panorama alam sekitar curug yang masih asri...
772bd029c2ce450b94b6fc6f524fbc05,2022-09-15 11:58:44,Curug Malela,5,2023-02-15 11:58:44,"Nyampe 17:30 lnjut kebawah jam 18:00 mantap suasana 1 safar,.."
c26ac69c5b9748f898ccf96176ba1f56,2022-10-15 11:58:44,Curug Malela,5,2023-02-15 11:58:44,"Sangat indah meskipun airnya keruh karena sedang musim hujan
Walaupun dengan perjuangan yang luar biasa, tapi hilang lelah begitu sampai lokasi
Cuma karena efek pandemi, jadi saung2 pada rusak, akses kurang terawat
Ayoo bangkit lagiii @KBB"
aae35d8318fa4b62bd68be3fd39151b6,2022-07-15 11:58:44,Curug Malela,5,2023-02-15 11:58:44,"Perjalanan lumayan lelah tapi sangat memuaskan pas sampe lokasi...wow pokoknya 😍
Saya datang pas posisi abis banjir, Alhamdulillah pas Dateng cuaca mendukung untuk berkunjung 😊 …"
315a11d28f894aeebce46b0b95b2a14f,2022-12-15 11:58:44,Curug Malela,5,2023-02-15 11:58:44,"We visit here in 2016. Lokasinya cukup jauh di bandung barat. Menuju curugnya perlu jalan 1-2km, jalurnya menyejukkan mata. Curug malela versi mini Niagara Fall nya di Canada. Bagus utk foto hunting."
78d4fb745a7e40e5912bfd7d635721ea,2022-06-15 11:58:44,Curug Malela,5,2023-02-15 11:58:44,"Tiket masuk per org 5 rb , parkir mobil 6 rb .. akses jalan menuju kecurug tolong di perbaiki lagi supaya lebih mudah tuk di lewati , Pemandangan di Curug nya asri sekali begituh juga Curug nya indah bangetttt .. memuaskan 😎👍 …"
